Company_Full_Name,Shariah,Sector,Company_Key
LEAPONETECH SOLUTIONS HOLDINGS BERHAD,No,Software,4144
MAINTHREE-A RESOURCES BERHAD,Yes,Food & Beverages,3778
MAINASTRAL ASIA BERHAD,Yes,Plantation,6365
MAINAIRASIA X BERHAD,Yes,"Travel, Leisure & Hospitality",7622
ETFABF MALAYSIA BOND INDEX FUND,No,Bond Fund,6676
MAINABLE GLOBAL BERHAD,Yes,Food & Beverages,5195
MAINABLEGROUP BERHAD,Yes,Building Materials,8561
MAINALLIANCE BANK MALAYSIA BERHAD,No,Banking,6011
LEAPACE INNOVATE ASIA BERHAD,Yes,Metals,1378
MAINACME HOLDINGS BERHAD,Yes,Property,9264
ACEACO GROUP BERHAD,Yes,Industrial Services,3470
MAINADVANCECON HOLDINGS BERHAD,Yes,Construction,1725
MAINADVENTA BERHAD,Yes,Health Care Equipment & Services,9685
MAINADVANCED PACKAGING TECHNOLOGY (M,Yes,Packaging Materials,2691
MAINAE MULTI HOLDINGS BERHAD,Yes,"Industrial Materials, Components & Equipment",3199
ACEAEMULUS HOLDINGS BERHAD,Yes,Technology Equipment,6259
MAINAEON CO. (M,Yes,Retailers,6578
MAINAEON CREDIT SERVICE (M,No,Other Financials,1180
MAINAFFIN BANK BERHAD,No,Banking,4725
MAINABM FUJIYA BERHAD,Yes,Auto Parts,4613
MAINAGESON BERHAD,Yes,Construction,3167
ACEAGMO HOLDINGS BERHAD,No,Software,1406
MAINAHB HOLDINGS BERHAD,Yes,Consumer Services,8768
MAINAPEX HEALTHCARE BERHAD,Yes,Pharmaceuticals,7183
ACEADVANCE INFORMATION MARKETING BERHAD,Yes,Industrial Services,7640
ACEAIMFLEX BERHAD,Yes,Technology Equipment,4090
MAINMALAYSIA AIRPORTS HOLDINGS BERHAD,No,Transportation & Logistics Services,2705
MAINAJINOMOTO (MALAYSIA,Yes,Food & Beverages,2023
MAINAJIYA BERHAD,Yes,Building Materials,1108
MAINALAM MARITIM RESOURCES BERHAD,Yes,"Energy Infrastructure, Equipment & Services",1615
MAINAL-`AQAR HEALTHCARE REIT,Yes,Real Estate Investment Trusts,1202
MAINALCOM GROUP BERHAD,No,Metals,8417
MAINALLIANZ MALAYSIA BERHAD,No,Insurance,9001
ACEALDRICH RESOURCES BERHAD,Yes,Software,5190
MAINAL-SALAM REAL ESTATE INVESTMENT TRUST,Yes,Real Estate Investment Trusts,3291
MAINAMMB HOLDINGS BERHAD,No,Banking,5684
