Market_Cap,Last_Price,Price–earnings_ratio,Dividend_yield,Return_on_equity,Company_Key,Stock_Key
15.01m,0.20,-,5.13,-,4144,6764
432.96m,0.88,9.80,3.41,10.45,3778,3879
66.00m,0.10,-,0.00,-2.60,6365,5546
165.93m,0.40,0.01,0.00,-,7622,1598
1.604b,1.14,-,0.00,-,6676,9737
419.14m,1.35,11.73,3.70,9.06,5195,3224
30.35m,0.12,-,0.00,-2.12,8561,8161
5.465b,3.53,8.55,5.24,10.09,6011,5904
105.01m,0.35,-,2.83,-,1378,8732
71.67m,0.20,-,0.00,-2.31,9264,4718
67.74m,0.20,9.56,1.03,8.16,3470,9334
123.19m,0.25,64.10,0.00,0.91,1725,4321
71.05m,0.47,10.15,0.00,10.18,9685,9143
54.95m,2.68,-,0.00,-4.78,2691,4604
43.27m,0.02,-,0.00,-74.25,3199,8033
260.45m,0.39,17.49,0.00,7.69,6259,2040
1.923b,1.37,15.07,2.19,7.18,6578,8154
3.472b,13.60,9.50,3.57,16.38,1180,4160
4.403b,1.99,6.99,6.28,5.99,4725,3590
73.80m,0.41,36.94,0.00,1.22,4613,4788
102.85m,0.33,-,0.00,-,3167,4542
281.13m,0.87,-,0.00,-,1406,3020
41.34m,0.11,-,0.00,-16.47,8768,6613
1.509b,3.16,20.40,3.64,14.61,7183,6903
25.28m,0.10,-,0.00,-46.90,7640,4809
220.34m,0.15,19.23,0.00,9.75,4090,8746
9.291b,5.60,-,0.00,-6.82,2705,9253
701.62m,11.54,744.52,0.74,0.19,2023,6175
353.32m,1.16,17.19,0.00,5.08,1108,7050
45.95m,0.03,-,0.00,-,1615,3179
868.46m,1.18,11.51,6.61,7.92,1202,7011
108.81m,0.81,1.86,3.09,29.61,8417,8974
2.367b,13.30,5.06,4.74,11.18,9001,8935
27.84m,0.03,-,0.00,-,5190,3305
246.50m,0.43,63.43,5.41,0.66,3291,5257
12.925b,3.90,8.42,1.28,9.01,5684,1949
903.35m,1.41,19.05,1.77,6.67,9097,5039
51.36m,0.17,6.25,0.00,0.75,9967,9997
