Stock_Short_Name,Stock_Code,Market_Name,Stock_Key
1TECH,03041,LEAP,6764
3A,0012,MAIN,3879
AASIA,7054,MAIN,5546
AAX,5238,MAIN,1598
ABFMY1,0800EA,ETF,9737
ABLEGLOB,7167,MAIN,3224
ABLEGRP,7086,MAIN,8161
ABMB,2488,MAIN,5904
ACEINNO,03028,LEAP,8732
ACME,7131,MAIN,4718
ACO,0218,ACE,9334
ADVCON,5281,MAIN,4321
ADVENTA,7191,MAIN,9143
ADVPKG,9148,MAIN,4604
AEM,7146,MAIN,8033
AEMULUS,0181,ACE,2040
AEON,6599,MAIN,8154
AEONCR,5139,MAIN,4160
AFFIN,5185,MAIN,3590
AFUJIYA,5198,MAIN,4788
AGES,7145,MAIN,4542
AGMO,0258,ACE,3020
AHB,7315,MAIN,6613
AHEALTH,7090,MAIN,6903
AIM,0122,ACE,4809
AIMFLEX,0209,ACE,8746
AIRPORT,5014,MAIN,9253
AJI,2658,MAIN,6175
AJIYA,7609,MAIN,7050
ALAM,5115,MAIN,3179
ALAQAR,5116,MAIN,7011
ALCOM,2674,MAIN,8974
ALLIANZ,1163,MAIN,8935
ALRICH,0079,ACE,3305
ALSREIT,5269,MAIN,5257
AMBANK,1015,MAIN,1949
AME,5293,MAIN,5039
AMEDIA,0159,MAIN,9997
AMEREIT,5307,MAIN,4929
AMFIRST,5120,MAIN,5768
AMLEX,03011,LEAP,9582
AMTEL,7031,MAIN,7011
AMWAY,6351,MAIN,3032
ANALABS,7083,MAIN,5501
ANCOMLB,0048,ACE,5561
ANCOMNY,4758,MAIN,9445
ANEKA,0226,ACE,3940
ANNJOO,6556,MAIN,6006
ANNUM,5082,MAIN,3669
ANZO,9342,MAIN,8909
AORB,03051,LEAP,3338
APB,5568,MAIN,5533
APEX,5088,MAIN,3007
APM,5015,MAIN,7659
APOLLO,6432,MAIN,4940
APPASIA,0119,ACE,9849
ARANK,7214,MAIN,5524
ARBB,7181,MAIN,7169
ARK,7007,MAIN,6316
ARMADA,5210,MAIN,9980
ARREIT,5127,MAIN,1711
ARTRONIQ,0038,ACE,4638
ASB,1481,MAIN,6463
ASDION,0068,ACE,1533
ASIABRN,7722,MAIN,3975
ASIAFLE,7129,MAIN,8269
ASIAPAC,4057,MAIN,8786
ASIAPLY,0105,ACE,9606
ASTINO,7162,MAIN,4545
ASTRA,03032,LEAP,7897
ASTRO,6399,MAIN,6027
AT,0072,ACE,9581
ATAIMS,8176,MAIN,4717
ATECH,5302,MAIN,5812
ATLAN,7048,MAIN,2844
ATRIUM,5130,MAIN,1827
ATTA,7099,MAIN,8345
AURORA,03037,LEAP,7333
AVI,8885,MAIN,7836
AWANTEC,5204,MAIN,3574
AWC,7579,MAIN,7778
AXIATA,6888,MAIN,8331
AXREIT,5106,MAIN,8265
AXTERIA,7120,MAIN,8686
AYER,2305,MAIN,4967
AYS,5021,MAIN,5298
AZRB,7078,MAIN,5999
BABA,03012,LEAP,9117
BAHVEST,0098,ACE,8243
BARAKAH,7251,MAIN,5608
BAT,4162,MAIN,3015
BAUTO,5248,MAIN,9139
BCB,6602,MAIN,1736
BCMALL,0187,ACE,9236
BDB,6173,MAIN,6120
BENALEC,5190,MAIN,4112
BERTAM,9814,MAIN,9315
BESHOM,7668,MAIN,3914
BHIC,8133,MAIN,1808
BIG,7005,MAIN,4589
BIMB,5258,MAIN,7245
BINACOM,0195,ACE,7811
BINTAI,6998,MAIN,3010
BIOHLDG,0179,ACE,2599
BIPORT,5032,MAIN,3896
BJASSET,3239,MAIN,5981
BJCORP,3395,MAIN,5277
BJFOOD,5196,MAIN,6607
BJLAND,4219,MAIN,5814
BKAWAN,1899,MAIN,9039
BLDPLNT,5069,MAIN,3171
BOILERM,0168,MAIN,7526
BONIA,9288,MAIN,7937
BORNOIL,7036,MAIN,1960
BOXPAK,6297,MAIN,7767
BPLANT,5254,MAIN,5106
BPPLAS,5100,MAIN,8174
BPURI,5932,MAIN,5177
BRIGHT,9938,MAIN,4167
BSLCORP,7221,MAIN,3518
BSTEAD,2771,MAIN,1713
BTECH,0011,ACE,1995
BTM,7188,MAIN,3831
BURSA,1818,MAIN,3878
BVLH,03042,LEAP,2696
CAB,7174,MAIN,8315
CABNET,0191,ACE,5825
CAELY,7154,MAIN,4282
CAMRES,7128,MAIN,3185
CANONE,5105,MAIN,5709
CAP,5229,MAIN,2172
CAPITALA,5099,MAIN,8665
CAREPLS,0163,MAIN,4548
CARIMIN,5257,MAIN,8165
CARLSBG,2836,MAIN,8300
CARZO,03048,LEAP,2137
CATCHA,0173,ACE,3927
CBIP,7076,MAIN,2109
CCIB,03053,LEAP,6532
CCK,7035,MAIN,7138
CEKD,0238,ACE,5279
CENGILD,0243,ACE,9104
CENSOF,5195,MAIN,5900
CEPAT,8982,MAIN,8558
CEPCO,8435,MAIN,9029
CETECH,03024,LEAP,6756
CFM,8044,MAIN,4662
CGB,8052,MAIN,2636
CHEETAH,7209,MAIN,6687
CHGP,7187,MAIN,3988
CHHB,5738,MAIN,1589
CHINHIN,5273,MAIN,4518
CHINTEK,1929,MAIN,6485
CHINWEL,5007,MAIN,3750
CHOOBEE,5797,MAIN,1879
CHUAN,7016,MAIN,4553
CIHLDG,2828,MAIN,2082
CIMB,1023,MAIN,2183
CITAGLB,7245,MAIN,8151
CJCEN,7117,MAIN,3761
CLMT,5180,MAIN,2981
CLOUD,03001,LEAP,9249
CME,7018,MAIN,4554
CMSB,2852,MAIN,8957
CNASIA,7986,MAIN,4858
CNERGEN,0246,ACE,2101
CNH,5104,MAIN,1676
CNOUHUA,5188,MAIN,8660
COASTAL,5071,MAIN,8020
COCOLND,7205,MAIN,9144
COMCORP,7195,MAIN,4707
COMFORT,2127,MAIN,3950
COMPUGT,5037,MAIN,5006
CORAZA,0240,ACE,7001
CRESBLD,8591,MAIN,3190
CRESNDO,6718,MAIN,5300
CRG,03016,LEAP,2557
CSCENIC,7202,MAIN,4984
CSCSTEL,5094,MAIN,7080
CSH,7165,MAIN,5526
CTOS,5301,MAIN,8565
CUSCAPI,0051,MAIN,7611
CVIEW,5049,MAIN,6996
CWG,9423,MAIN,1872
CYL,7157,MAIN,2937
CYPARK,5184,MAIN,4609
D&O,7204,MAIN,1859
DANCO,5276,MAIN,2213
DATAPRP,8338,MAIN,6530
DAYANG,5141,MAIN,2419
DBHD,3484,MAIN,8268
DELEUM,5132,MAIN,5692
DESTINI,7212,MAIN,5181
DFCITY,5165,MAIN,3029
DFX,0131,ACE,3857
DGB,0152,ACE,3020
DIALOG,7277,MAIN,8286
DIGI,6947,MAIN,7725
DIGISTA,0029,MAIN,4540
DIN040000223,0400GA,MAIN,8933
DIN045801028,0400GB,MAIN,6716
DKLS,7528,MAIN,3818
DKSH,5908,MAIN,3030
DLADY,3026,MAIN,5498
DNEX,4456,MAIN,9604
